trial,sweep,seg,pos,site,residual
1,1,left,1,1,0.00587217478140735
1,1,left,2,2,0.005980033077421465
1,1,left,3,3,0.006110537621989475
1,1,left,4,4,0.006201500400079724
1,1,left,5,5,0.0063594927808782046
1,1,left,6,6,0.006428781433158147
1,1,left,7,7,0.006446085548726105
1,2,left,1,1,0.006462379154672416
1,2,left,2,2,0.0064623791546724145
1,2,left,3,3,0.006462435044667299
1,2,left,4,4,0.0064633632494169235
1,2,left,5,5,0.006464601070077911
1,2,left,6,6,0.006464847677889467
1,2,left,7,7,0.006465857512512465
1,3,left,1,1,0.006466937613329057
1,3,left,2,2,0.006466937613329057
1,3,left,3,3,0.006466940834995859
1,3,left,4,4,0.006466997787720371
1,3,left,5,5,0.006467192449805852
1,3,left,6,6,0.006467230908778935
1,3,left,7,7,0.00646728783082491
1,4,left,1,1,0.006467402397216184
1,4,left,2,2,0.006467402397216185
1,4,left,3,3,0.006467402694167208
1,4,left,4,4,0.006467408127746614
1,4,left,5,5,0.006467431336297652
1,4,left,6,6,0.006467435284977147
1,4,left,7,7,0.006467439540192932
1,5,left,1,1,0.006467451564157199
1,5,left,2,2,0.006467451564157197
1,5,left,3,3,0.006467451592029576
1,5,left,4,4,0.006467452148906409
1,5,left,5,5,0.006467454673648705
1,5,left,6,6,0.006467455064410065
1,5,left,7,7,0.006467455442605702
1,6,left,1,1,0.006467456692782878
1,6,left,2,2,0.006467456692782879
1,6,left,3,3,0.006467456695471402
1,6,left,4,4,0.006467456752932744
1,6,left,5,5,0.006467457019563049
1,6,left,6,6,0.00646745705891654
1,6,left,7,7,0.006467457095292
1,7,left,1,1,0.006467457224854378
1,7,left,2,2,0.006467457224854378
1,7,left,3,3,0.0064674572251200695
1,7,left,4,4,0.0064674572310497395
1,7,left,5,5,0.00646745725890274
1,7,left,6,6,0.00646745726292212
1,7,left,7,7,0.006467457266543055
1,8,left,1,1,0.006467457279956063
1,8,left,2,2,0.006467457279956064
1,8,left,3,3,0.006467457279982742
1,8,left,4,4,0.00646745728059478
1,8,left,5,5,0.006467457283491453
1,8,left,6,6,0.006467457283904858
1,8,left,7,7,0.006467457284271093
1,9,left,1,1,0.006467457285659227
1,9,left,2,2,0.006467457285659227
1,9,left,3,3,0.00646745728566193
1,9,left,4,4,0.006467457285725135
1,9,left,5,5,0.0064674572860257675
1,9,left,6,6,0.006467457286068421
1,9,left,7,7,0.006467457286105771
1,10,left,1,1,0.006467457286249421
1,10,left,2,2,0.006467457286249419
1,10,left,3,3,0.006467457286249696
1,10,left,4,4,0.0064674572862562256
1,10,left,5,5,0.006467457286287394
1,10,left,6,6,0.0064674572862918
1,10,left,7,7,0.006467457286295627
1,11,left,1,1,0.0064674572863104894
1,11,left,2,2,0.006467457286310489
1,11,left,3,3,0.006467457286310518
1,11,left,4,4,0.006467457286311193
1,11,left,5,5,0.006467457286314421
1,11,left,6,6,0.006467457286314876
1,11,left,7,7,0.0064674572863152695
1,12,left,1,1,0.006467457286316807
1,12,left,2,2,0.0064674572863168064
1,12,left,3,3,0.006467457286316809
1,12,left,4,4,0.006467457286316879
1,12,left,5,5,0.006467457286317215
1,12,left,6,6,0.006467457286317263
1,12,left,7,7,0.006467457286317305
1,13,left,1,1,0.006467457286317461
1,13,left,2,2,0.006467457286317461
1,13,left,3,3,0.006467457286317464
1,13,left,4,4,0.006467457286317473
1,13,left,5,5,0.006467457286317505
1,13,left,6,6,0.006467457286317511
1,13,left,7,7,0.006467457286317514
1,1,right,1,7,0.006446085548726105
1,1,right,2,6,0.006446085548726106
1,1,right,3,5,0.006447246355877345
1,1,right,4,4,0.006450977622159939
1,1,right,5,3,0.006451237025170153
1,1,right,6,2,0.006460830799528632
1,1,right,7,1,0.006462379154672415
1,2,right,1,7,0.006465857512512465
1,2,right,2,6,0.006465857512512463
1,2,right,3,5,0.006465931070086818
1,2,right,4,4,0.006465944010839565
1,2,right,5,3,0.006466240320223892
1,2,right,6,2,0.0064668459411112425
1,2,right,7,1,0.006466937613329056
1,3,right,1,7,0.00646728783082491
1,3,right,2,6,0.00646728783082491
1,3,right,3,5,0.006467292092510284
1,3,right,4,4,0.006467292209123088
1,3,right,5,3,0.006467332450812035
1,3,right,6,2,0.0064673940676778716
1,3,right,7,1,0.006467402397216185
1,4,right,1,7,0.006467439540192932
1,4,right,2,6,0.006467439540192932
1,4,right,3,5,0.00646743986162328
1,4,right,4,4,0.006467439879756101
1,4,right,5,3,0.006467444291037721
1,4,right,6,2,0.0064674507872927
1,4,right,7,1,0.006467451564157197
1,5,right,1,7,0.006467455442605701
1,5,right,2,6,0.006467455442605701
1,5,right,3,5,0.006467455471255825
1,5,right,4,4,0.006467455473428485
1,5,right,5,3,0.006467455939359142
1,5,right,6,2,0.006467456618011765
1,5,right,7,1,0.006467456692782878
1,6,right,1,7,0.006467457095292002
1,6,right,2,6,0.006467457095291999
1,6,right,3,5,0.006467457098050152
1,6,right,4,4,0.006467457098285603
1,6,right,5,3,0.006467457147013273
1,6,right,6,2,0.006467457217470463
1,6,right,7,1,0.006467457224854379
1,7,right,1,7,0.006467457266543055
1,7,right,2,6,0.006467457266543055
1,7,right,3,5,0.006467457266817689
1,7,right,4,4,0.006467457266842738
1,7,right,5,3,0.006467457271918385
1,7,right,6,2,0.006467457279214843
1,7,right,7,1,0.006467457279956064
1,8,right,1,7,0.006467457284271092
1,8,right,2,6,0.006467457284271093
1,8,right,3,5,0.006467457284298874
1,8,right,4,4,0.006467457284301522
1,8,right,5,3,0.00646745728482907
1,8,right,6,2,0.006467457285584064
1,8,right,7,1,0.006467457285659226
1,9,right,1,7,0.006467457286105772
1,9,right,2,6,0.006467457286105771
1,9,right,3,5,0.0064674572861086075
1,9,right,4,4,0.006467457286108886
1,9,right,5,3,0.006467457286163641
1,9,right,6,2,0.006467457286241748
1,9,right,7,1,0.00646745728624942
1,10,right,1,7,0.006467457286295627
1,10,right,2,6,0.006467457286295627
1,10,right,3,5,0.006467457286295918
1,10,right,4,4,0.006467457286295946
1,10,right,5,3,0.006467457286301625
1,10,right,6,2,0.006467457286309703
1,10,right,7,1,0.0064674572863104894
1,11,right,1,7,0.0064674572863152695
1,11,right,2,6,0.006467457286315268
1,11,right,3,5,0.006467457286315298
1,11,right,4,4,0.0064674572863153
1,11,right,5,3,0.00646745728631589
1,11,right,6,2,0.006467457286316726
1,11,right,7,1,0.006467457286316806
1,12,right,1,7,0.006467457286317305
1,12,right,2,6,0.006467457286317306
1,12,right,3,5,0.006467457286317309
1,12,right,4,4,0.006467457286317307
1,12,right,5,3,0.0064674572863173685
1,12,right,6,2,0.006467457286317457
1,12,right,7,1,0.006467457286317461
1,13,right,1,7,0.006467457286317514
1,13,right,2,6,0.006467457286317514
1,13,right,3,5,0.006467457286317515
1,13,right,4,4,0.006467457286317517
1,13,right,5,3,0.0064674572863175255
1,13,right,6,2,0.006467457286317533
1,13,right,7,1,0.006467457286317533
2,1,left,1,1,0.0033998302143614656
2,1,left,2,2,0.0036882905838224182
2,1,left,3,3,0.006675877812773364
2,1,left,4,4,0.00898915700851137
2,1,left,5,5,0.011458226348892243
2,1,left,6,6,0.01164152606626312
2,1,left,7,7,0.011677669868897272
2,2,left,1,1,0.012129304810626813
2,2,left,2,2,0.012129304810626816
2,2,left,3,3,0.012129395401105832
2,2,left,4,4,0.012139325759074256
2,2,left,5,5,0.012214109079956634
2,2,left,6,6,0.012228066245465668
2,2,left,7,7,0.012230504399894244
2,3,left,1,1,0.0122632302800869
2,3,left,2,2,0.0122632302800869
2,3,left,3,3,0.012263240342073723
2,3,left,4,4,0.012263497849245466
2,3,left,5,5,0.012272873821411533
2,3,left,6,6,0.012274782179465543
2,3,left,7,7,0.012275054662598081
2,4,left,1,1,0.012280003082446258
2,4,left,2,2,0.012280003082446254
2,4,left,3,3,0.012280003145089369
2,4,left,4,4,0.012280004304314631
2,4,left,5,5,0.012281778541801876
2,4,left,6,6,0.012282402363742144
2,4,left,7,7,0.012282441860291543
2,5,left,1,1,0.012283817979689493
2,5,left,2,2,0.012283817979689493
2,5,left,3,3,0.012283818029150323
2,5,left,4,4,0.012283821079200601
2,5,left,5,5,0.012284311633742268
2,5,left,6,6,0.012284647720149304
2,5,left,7,7,0.01228465675561875
2,6,left,1,1,0.012285190456211778
2,6,left,2,2,0.012285190456211778
2,6,left,3,3,0.012285190507261531
2,6,left,4,4,0.012285192503795467
2,6,left,5,5,0.01228535951513314
2,6,left,6,6,0.01228553414159334
2,6,left,7,7,0.012285537030635594
2,7,left,1,1,0.012285765226794029
2,7,left,2,2,0.012285765226794034
2,7,left,3,3,0.012285765252472233
2,7,left,4,4,0.012285766122549746
2,7,left,5,5,0.012285828536832261
2,7,left,6,6,0.012285915562232888
2,7,left,7,7,0.012285916681042034
2,8,left,1,1,0.012286017962927031
2,8,left,2,2,0.012286017962927028
2,8,left,3,3,0.012286017973787373
2,8,left,4,4,0.012286018316907489
2,8,left,5,5,0.01228604274341356
2,8,left,6,6,0.012286085577137437
2,8,left,7,7,0.012286086053672178
2,9,left,1,1,0.012286132084975794
2,9,left,2,2,0.012286132084975792
2,9,left,3,3,0.012286132089337596
2,9,left,4,4,0.012286132221711576
2,9,left,5,5,0.01228614204341147
2,9,left,6,6,0.012286163124612084
2,9,left,7,7,0.012286163337185697
2,10,left,1,1,0.012286184649869756
2,10,left,2,2,0.012286184649869757
2,10,left,3,3,0.012286184651594584
2,10,left,4,4,0.012286184702780168
2,10,left,5,5,0.012286188727280925
2,10,left,6,6,0.012286199139579426
2,10,left,7,7,0.01228619923673492
2,11,left,1,1,0.01228620925681238
2,11,left,2,2,0.012286209256812381
2,11,left,3,3,0.012286209257491635
2,11,left,4,4,0.012286209277503806
2,11,left,5,5,0.012286210952460644
2,11,left,6,6,0.012286216115845426
2,11,left,7,7,0.01228621616090472
2,12,left,1,1,0.01228622093241135
2,12,left,2,2,0.012286220932411352
2,12,left,3,3,0.012286220932678664
2,12,left,4,4,0.012286220940625963
2,12,left,5,5,0.012286221647991513
2,12,left,6,6,0.012286224217471187
2,12,left,7,7,0.012286224238583422
2,13,left,1,1,0.012286226535183633
2,13,left,2,2,0.01228622653518363
2,13,left,3,3,0.012286226535288852
2,13,left,4,4,0.012286226538506787
2,13,left,5,5,0.012286226841681857
2,13,left,6,6,0.012286228123988331
2,13,left,7,7,0.012286228133959357
2,14,left,1,1,0.012286229249260747
2,14,left,2,2,0.012286229249260745
2,14,left,3,3,0.012286229249302168
2,14,left,4,4,0.012286229250635845
2,14,left,5,5,0.012286229382581058
2,14,left,6,6,0.012286230023961066
2,14,left,7,7,0.012286230028701724
2,15,left,1,1,0.012286230574356755
2,15,left,2,2,0.012286230574356757
2,15,left,3,3,0.012286230574373065
2,15,left,4,4,0.012286230574940906
2,15,left,5,5,0.012286230633283327
2,15,left,6,6,0.012286230954653856
2,15,left,7,7,0.012286230956920906
2,16,left,1,1,0.012286231225517285
2,16,left,2,2,0.012286231225517287
2,16,left,3,3,0.012286231225523702
2,16,left,4,4,0.012286231225772758
2,16,left,5,5,0.012286231251990161
2,16,left,6,6,0.012286231413240263
2,16,left,7,7,0.012286231414330034
2,17,left,1,1,0.012286231547209982
2,17,left,2,2,0.012286231547209982
2,17,left,3,3,0.012286231547212506
2,17,left,4,4,0.012286231547325156
2,17,left,5,5,0.01228623155929675
2,17,left,6,6,0.012286231640294161
2,17,left,7,7,0.012286231640820473
2,18,left,1,1,0.012286231706827848
2,18,left,2,2,0.01228623170682785
2,18,left,3,3,0.012286231706828835
2,18,left,4,4,0.01228623170688133
2,18,left,5,5,0.012286231712432831
2,18,left,6,6,0.012286231753154226
2,18,left,7,7,0.012286231753409494
2,19,left,1,1,0.01228623178630696
2,19,left,2,2,0.01228623178630696
2,19,left,3,3,0.012286231786307349
2,19,left,4,4,0.012286231786332475
2,19,left,5,5,0.012286231788944155
2,19,left,6,6,0.012286231809431213
2,19,left,7,7,0.012286231809555502
2,20,left,1,1,0.01228623182599507
2,20,left,2,2,0.01228623182599507
2,20,left,3,3,0.012286231825995227
2,20,left,4,4,0.012286231826007524
2,20,left,5,5,0.012286231827252294
2,20,left,6,6,0.01228623183756528
2,20,left,7,7,0.012286231837626012
2,21,left,1,1,0.012286231845858829
2,21,left,2,2,0.01228623184585883
2,21,left,3,3,0.01228623184585889
2,21,left,4,4,0.012286231845865022
2,21,left,5,5,0.012286231846465143
2,21,left,6,6,0.012286231851659018
2,21,left,7,7,0.012286231851688789
2,22,left,1,1,0.012286231855818792
2,22,left,2,2,0.012286231855818792
2,22,left,3,3,0.012286231855818817
2,22,left,4,4,0.012286231855821915
2,22,left,5,5,0.012286231856114112
2,22,left,6,6,0.012286231858730878
2,22,left,7,7,0.012286231858745517
2,23,left,1,1,0.012286231860820163
2,23,left,2,2,0.012286231860820167
2,23,left,3,3,0.012286231860820174
2,23,left,4,4,0.012286231860821754
2,23,left,5,5,0.012286231860965202
2,23,left,6,6,0.012286231862283996
2,23,left,7,7,0.012286231862291212
2,24,left,1,1,0.012286231863334529
2,24,left,2,2,0.012286231863334525
2,24,left,3,3,0.012286231863334525
2,24,left,4,4,0.012286231863335335
2,24,left,5,5,0.012286231863406235
2,24,left,6,6,0.012286231864071063
2,24,left,7,7,0.012286231864074624
2,25,left,1,1,0.012286231864599748
2,25,left,2,2,0.012286231864599744
2,25,left,3,3,0.012286231864599748
2,25,left,4,4,0.012286231864600167
2,25,left,5,5,0.012286231864635407
2,25,left,6,6,0.012286231864970625
2,25,left,7,7,0.012286231864972387
2,26,left,1,1,0.01228623186523687
2,26,left,2,2,0.012286231865236872
2,26,left,3,3,0.01228623186523687
2,26,left,4,4,0.012286231865237085
2,26,left,5,5,0.012286231865254673
2,26,left,6,6,0.012286231865423733
2,26,left,7,7,0.012286231865424609
2,27,left,1,1,0.012286231865557903
2,27,left,2,2,0.0122862318655579
2,27,left,3,3,0.012286231865557898
2,27,left,4,4,0.012286231865558009
2,27,left,5,5,0.012286231865566816
2,27,left,6,6,0.012286231865652092
2,27,left,7,7,0.012286231865652527
2,28,left,1,1,0.01228623186571972
2,28,left,2,2,0.012286231865719721
2,28,left,3,3,0.01228623186571972
2,28,left,4,4,0.012286231865719777
2,28,left,5,5,0.012286231865724202
2,28,left,6,6,0.01228623186576722
2,28,left,7,7,0.012286231865767435
2,29,left,1,1,0.012286231865801326
2,29,left,2,2,0.012286231865801326
2,29,left,3,3,0.012286231865801325
2,29,left,4,4,0.012286231865801356
2,29,left,5,5,0.01228623186580358
2,29,left,6,6,0.01228623186582529
2,29,left,7,7,0.012286231865825396
2,30,left,1,1,0.012286231865842497
2,30,left,2,2,0.012286231865842497
2,30,left,3,3,0.012286231865842493
2,30,left,4,4,0.01228623186584251
2,30,left,5,5,0.012286231865843631
2,30,left,6,6,0.012286231865854586
2,30,left,7,7,0.012286231865854638
2,31,left,1,1,0.01228623186586326
2,31,left,2,2,0.012286231865863261
2,31,left,3,3,0.012286231865863261
2,31,left,4,4,0.01228623186586327
2,31,left,5,5,0.012286231865863837
2,31,left,6,6,0.012286231865869371
2,31,left,7,7,0.012286231865869393
2,32,left,1,1,0.01228623186587374
2,32,left,2,2,0.01228623186587374
2,32,left,3,3,0.012286231865873742
2,32,left,4,4,0.012286231865873746
2,32,left,5,5,0.01228623186587403
2,32,left,6,6,0.012286231865876822
2,32,left,7,7,0.012286231865876839
2,33,left,1,1,0.012286231865879038
2,33,left,2,2,0.012286231865879038
2,33,left,3,3,0.012286231865879035
2,33,left,4,4,0.012286231865879037
2,33,left,5,5,0.01228623186587918
2,33,left,6,6,0.012286231865880591
2,33,left,7,7,0.0122862318658806
2,34,left,1,1,0.012286231865881701
2,34,left,2,2,0.012286231865881701
2,34,left,3,3,0.012286231865881701
2,34,left,4,4,0.012286231865881701
2,34,left,5,5,0.012286231865881774
2,34,left,6,6,0.012286231865882485
2,34,left,7,7,0.012286231865882487
2,35,left,1,1,0.01228623186588305
2,35,left,2,2,0.01228623186588305
2,35,left,3,3,0.012286231865883047
2,35,left,4,4,0.01228623186588305
2,35,left,5,5,0.012286231865883086
2,35,left,6,6,0.012286231865883441
2,35,left,7,7,0.012286231865883441
2,36,left,1,1,0.012286231865883734
2,36,left,2,2,0.012286231865883734
2,36,left,3,3,0.012286231865883734
2,36,left,4,4,0.012286231865883734
2,36,left,5,5,0.01228623186588375
2,36,left,6,6,0.012286231865883929
2,36,left,7,7,0.012286231865883927
2,37,left,1,1,0.012286231865884083
2,37,left,2,2,0.012286231865884081
2,37,left,3,3,0.012286231865884081
2,37,left,4,4,0.012286231865884083
2,37,left,5,5,0.012286231865884088
2,37,left,6,6,0.012286231865884177
2,37,left,7,7,0.012286231865884173
2,1,right,1,7,0.01167766986889727
2,1,right,2,6,0.011677669868897272
2,1,right,3,5,0.01167798282670206
2,1,right,4,4,0.01168842879113264
2,1,right,5,3,0.011972291470055275
2,1,right,6,2,0.01212380225445798
2,1,right,7,1,0.012129304810626816
2,2,right,1,7,0.012230504399894242
2,2,right,2,6,0.012230504399894244
2,2,right,3,5,0.012230533376973675
2,2,right,4,4,0.012230775251062441
2,2,right,5,3,0.012259028778685226
2,2,right,6,2,0.012262761372171952
2,2,right,7,1,0.0122632302800869
2,3,right,1,7,0.012275054662598081
2,3,right,2,6,0.012275054662598081
2,3,right,3,5,0.012275058207330092
2,3,right,4,4,0.012275401702911028
