trial,sweep,seg,pos,site,residual
1,1,left,1,1,0.023872329459826324
1,1,left,2,2,0.023872329459826317
1,1,left,3,3,0.02387232945982632
1,1,left,4,4,0.02387232945982632
1,1,left,5,5,0.02387232945982633
1,1,right,1,5,0.02387232945982633
1,1,right,2,4,0.02387232945982633
1,1,right,3,3,0.023872329459826327
1,1,right,4,2,0.023872329459826324
1,1,right,5,1,0.02387232945982633
2,1,left,1,1,0.07243851908970436
2,1,left,2,2,0.07243851908970438
2,1,left,3,3,0.07243851908970438
2,1,left,4,4,0.0724385190897044
2,1,left,5,5,0.07243851908970442
2,1,right,1,5,0.07243851908970442
2,1,right,2,4,0.07243851908970442
2,1,right,3,3,0.0724385190897044
2,1,right,4,2,0.07243851908970439
2,1,right,5,1,0.07243851908970436
3,1,left,1,1,0.2107655133166288
3,1,left,2,2,0.21076551331662888
3,1,left,3,3,0.2107655133166289
3,1,left,4,4,0.21076551331662885
3,1,left,5,5,0.21076551331662888
3,1,right,1,5,0.21076551331662888
3,1,right,2,4,0.21076551331662882
3,1,right,3,3,0.21076551331662885
3,1,right,4,2,0.21076551331662885
3,1,right,5,1,0.2107655133166288
