contour,multorder,D,build_time_s,if_bond,relerr_gt_ed,relerr_lt_ed,relerr_gtau_ed,relerr_gt_conv,relerr_lt_conv,relerr_gtau_conv
imag,λLM,20,0.540941653,20,,,0.2715915847598722,,,3.502e-5
imag,λSM,20,0.567321965,20,,,0.2716075492276061,,,2.613e-5
imag,αLM,20,0.479968125,20,,,0.27160754922760644,,,2.613e-5
imag,αSM,20,0.295023274,20,,,0.27161844607870805,,,9.679e-6
imag,no,20,0.330643901,20,,,0.27161365669570237,,,1.262e-5
imag,λLM,40,0.316974261,40,,,0.2716271178437014,,,7.689e-7
imag,λSM,40,0.329902414,40,,,0.2716271147540954,,,7.699e-7
imag,αLM,40,0.321794602,40,,,0.2716271147540949,,,7.699e-7
imag,αSM,40,0.343691612,40,,,0.27162708177305217,,,8.144e-7
imag,no,40,0.302020712,40,,,0.2716270975100802,,,7.909e-7
imag,λLM,80,0.361039577,80,,,0.27162752177560406,,,4.566e-11
imag,λSM,80,0.405275652,80,,,0.27162752177594607,,,4.602e-11
imag,αLM,80,0.417383844,80,,,0.2716275217759465,,,4.602e-11
imag,αSM,80,0.318729376,80,,,0.2716275217754423,,,4.523e-11
imag,no,80,0.34209531,80,,,0.2716275217858283,,,3.122e-11
real,λLM,20,1.671145734,20,0.48337879479539375,0.43465453376800894,,0.0003946322697123527,0.00023962654144135033,
real,λSM,20,1.492716646,20,0.4834877875368422,0.4346460024372502,,0.0005890033454126685,0.0004985018673324986,
real,αLM,20,1.632431107,20,0.48336220152701237,0.434674746462101,,0.00042650993795169775,0.0003092383189197497,
real,αSM,20,1.303840884,20,0.4829971935395901,0.4344725376418763,,0.00042856903386528873,0.0003545576330162554,
real,no,20,1.478307887,20,0.4889146253416032,0.43769598725409026,,0.004757293084878203,0.0027940810729451186,
real,λLM,40,2.028852065,40,0.4832154425144005,0.4345423670858085,,1.7542852488740914e-5,8.547979383967822e-6,
real,λSM,40,2.036336252,40,0.48321407948378226,0.43455301045579114,,1.605628230908017e-5,1.57706197732201e-5,
real,αLM,40,2.005189966,40,0.4831865225479002,0.43452208758663635,,1.1201437514305634e-5,1.1662127233739962e-5,
real,αSM,40,1.993204407,40,0.48314436548464884,0.434470999495886,,5.342686029263362e-5,5.87669873910449e-5,
real,no,40,2.037570347,40,0.4831774212423282,0.434502493541156,,3.202485994931967e-5,4.180005628216937e-5,
real,λLM,80,4.79088037,80,0.4831955039341707,0.43453484257694686,,2.3001337054836527e-7,2.452738507072268e-7,
real,λSM,80,5.532904526,80,0.48319425138306865,0.4345335180842591,,1.8488301283851633e-6,1.7855201371326422e-6,
real,αLM,80,4.338960572,80,0.4831955964474022,0.434534964999954,,2.6869932189752637e-7,3.2086506641978215e-7,
real,αSM,80,4.490121795,80,0.4831953947471962,0.4345343232595742,,6.066827781494636e-7,6.010549599911473e-7,
real,no,80,5.582528314,80,0.48319513394572905,0.4345352150222619,,7.162347821583086e-7,1.4901710261628803e-6,
